Trace
Swept SA
A.14.10,N9010A
6080392,-99.8865101297228
6090391,-100.359299570132
6100390,-100.294844865383
6110389,-100.669523888365
6120388,-100.736324397609
6130387,-100.418697373274
6140386,-99.9584313178263
6150385,-101.034129180608
6160384,-99.3064198684774
6170383,-100.412902226206
6180382,-100.263885245343
6190381,-99.8932882739928
6200380,-100.567361664962
6210379,-100.224020756867
6220378,-100.361537369126
6230377,-100.602753745936
6240376,-100.02621074804
6250375,-100.394693806539
6260374,-100.559211306767
6270373,-99.5387846369254
6280372,-99.9653788478065
6290371,-100.050101907705
6300370,-100.366784782532
6310369,-100.632135809383
6320368,-100.111718138863
6330367,-100.474802535596
6340366,-99.7530164463244
6350365,-100.267444680454
6360364,-100.427581480199
6370363,-99.8880694102219
6380362,-100.277600673065
6390361,-100.606685311191
6400360,-100.518569747412
6410359,-100.347129209385
6420358,-100.586616498805
6430357,-100.873798385256
6440356,-100.829169756747
6450355,-101.247905654206
6460354,-100.144509878231
6470353,-100.21269640164
6480352,-100.566982644517
6490351,-100.717354283241
6500350,-100.549400529779
6510349,-100.421303656449
6520348,-100.607801443406
6530347,-101.11696046051
6540346,-99.864982063904
6550345,-100.295031045516
6560344,-100.125922763935
6570343,-99.8473278339663
6580342,-100.926503469394
6590341,-100.770363001202
6600340,-100.483211404386
6610339,-100.711713166305
6620338,-99.9692875959156
6630337,-100.159145992454
6640336,-100.592167574028
6650335,-100.559871848632
6660334,-100.904077094144
6670333,-100.562152158687
6680332,-100.37682909385
6690331,-101.205247139725
6700330,-99.9642070955934
6710329,-100.660611669701
6720328,-100.765802429116
6730327,-101.295585846622
6740326,-100.019218218372
6750325,-100.128927731405
6760324,-101.457808524045
6770323,-100.630210439165
6780322,-100.432881931698
6790321,-100.953230668242
6800320,-100.239758504146
6810319,-100.040413900661
6820318,-100.344139457157
6830317,-99.7369070762289
6840316,-100.088426419182
6850315,-100.71550508448
6860314,-100.687272131628
6870313,-100.960501524159
6880312,-100.030763281831
6890311,-100.6787314615
6900310,-100.784885590682
6910309,-100.389581818175
6920308,-100.656850597089
6930307,-100.766278688127
6940306,-101.126242243621
6950305,-100.043891239228
6960304,-100.895471474327
6970303,-100.514465639443
6980302,-100.024259185874
6990301,-100.764719278374
7000300,-100.710632236355
7010299,-100.919788009319
7020298,-100.858036155642
7030297,-100.826396994171
7040296,-101.049210801772
7050295,-100.835054389767
7060294,-100.031923653254
7070293,-100.142965967706
7080292,-100.875288367197
7090291,-99.8550594384284
7100290,-100.564104829201
7110289,-100.606285695026
7120288,-100.452965401383
7130287,-100.991014654292
7140286,-100.57704793986
7150285,-100.628503549908
7160284,-100.751554574376
